Subject,Coverage,Year,Male,Female,All students
Art and design subjects,UK,2011,19541,52330,71871
Art and design subjects,UK,2012,17288,48115,65403
Art and design subjects,UK,2013,16674,47639,64313
Art and design subjects,UK,2014,17024,48936,65960
Art and design subjects,UK,2015,15946,46429,62375
Art and design subjects,UK,2016,10717,30828,41545
Art and design subjects,UK,2017,5848,16476,22324
Art and design subjects,UK,2018,,,
